Tempos,Pacotes
31.355836868286133,1988
31.355836868286133,1988
31.05927610397339,1988
31.355836868286133,1988
31.05927610397339,1988
31.0081593990326,1988
31.355836868286133,1988
31.05927610397339,1988
31.0081593990326,1988
31.366092205047607,1988
31.355836868286133,1988
31.05927610397339,1988
31.0081593990326,1988
31.366092205047607,1988
31.073455095291138,1988
31.355836868286133,1988
31.05927610397339,1988
31.0081593990326,1988
31.366092205047607,1988
31.073455095291138,1988
31.431520700454712,1988
31.355836868286133,1988
31.05927610397339,1988
31.0081593990326,1988
31.366092205047607,1988
31.073455095291138,1988
31.431520700454712,1988
31.152339458465576,1988
31.355836868286133,1988
31.05927610397339,1988
31.0081593990326,1988
31.366092205047607,1988
31.073455095291138,1988
31.431520700454712,1988
31.152339458465576,1988
31.137110710144043,1988
31.355836868286133,1988
31.05927610397339,1988
31.0081593990326,1988
31.366092205047607,1988
31.073455095291138,1988
31.431520700454712,1988
31.152339458465576,1988
31.137110710144043,1988
31.20117473602295,1988
31.355836868286133,1988
31.05927610397339,1988
31.0081593990326,1988
31.366092205047607,1988
31.073455095291138,1988
31.431520700454712,1988
31.152339458465576,1988
31.137110710144043,1988
31.20117473602295,1988
31.198888778686523,1988
31.355836868286133,1988
31.05927610397339,1988
31.008159399032596,1988
31.366092205047607,1988
31.073455095291138,1988
31.431520700454712,1988
31.152339458465576,1988
31.137110710144043,1988
31.20117473602295,1988
31.198888778686523,1988
31.11084985733032,1988
31.355836868286133,1988
31.05927610397339,1988
31.008159399032593,1988
31.366092205047607,1988
31.073455095291138,1988
31.431520700454712,1988
31.152339458465576,1988
31.137110710144043,1988
31.20117473602295,1988
31.198888778686523,1988
31.110849857330322,1988
31.15189218521118,1988
